109378820536147969	17732891	positive
111718863531548672	20034203	neutral
100229839008698368	18898102	negative
112762035024044033	39973709	negative
100318790037929984	155997995	positive
102901996452974592	132506556	positive
111409896934748160	34626959	negative
111326412757151744	255182372	objective
102386648167350273	82648480	neutral
102677670592118784	59770385	neutral
100197935970652160	192590613	objective
100100504834670592	55396290	positive
100076597658390528	88332945	positive
101550065839124480	159385828	neutral
102843124530946048	28374628	positive
107613619033874432	267443768	negative
111344599699693568	338069340	objective
101151487161405440	337820530	positive
103114993733599232	17141133	negative
111696208740884480	190686764	objective
100046378046201857	121392921	positive
106691921954603008	28427719	objective
90905261992194048	177156106	objective-OR-neutral
100001038454624257	58160183	negative
103220239621308416	40560097	positive
103786323181174784	14414855	positive
103172951364476928	47171512	positive
111508116201406464	185023213	negative
100259092156784641	302005731	positive
104773488799268864	24651255	negative
102085855975444480	274678116	negative
111854950841196544	105805842	positive
108580070968397824	160776483	positive
111779283248226305	42046923	neutral
100230511959605248	223897814	positive
111823672993529856	12997002	objective
101783554563903488	19326476	neutral
100257595364868096	21717951	negative
101392827065442305	189350760	neutral
111476531758514176	68249411	positive
100004341674553344	195951022	positive
111373353666883584	93874882	positive
109454805151387649	197602877	neutral
91081325884358656	48453	objective-OR-neutral
90854967476363265	23108799	objective
100108118712782848	57756665	positive
112609974089293824	80270548	neutral
109002622928822273	20954885	negative
100018512445186048	35952250	neutral
109288021341384704	23159696	negative
100018017278234624	127678880	objective-OR-neutral
100197007053950976	16632172	objective-OR-neutral
112783077285179392	219913533	negative
102825725907832833	46436706	negative
100592502184214529	14354316	neutral
112700931925221376	98465700	positive
100503244962406400	304917066	objective-OR-neutral
100789354846355456	120479657	neutral
109001452000788482	46438367	objective
109016744177319937	37107660	negative
111334843148800000	17421818	positive
100484040750149633	58394565	objective
102705034470498305	138387125	negative
112700010658922496	228628624	positive
111496739382505473	2049631	neutral
102357414950604800	321661248	positive
100667150242553856	29886252	negative
100741159265107968	36807018	positive
100816091399462912	146714827	objective
100032137759166464	48260635	positive
100077416856289280	261780244	positive
100245678009237506	68094466	objective-OR-neutral
100032675984834560	37065908	neutral
102522828758327296	295242250	positive
107643100272410624	214558699	objective-OR-neutral
100968344093597696	15874918	objective-OR-neutral
101057730034405376	68885138	neutral
108925496301064192	199839546	positive
105739077680250880	101247076	neutral
96908119757697024	19400611	negative
100242601780838401	275096940	positive
103052708277256192	66396696	objective-OR-neutral
107173682652250112	23570909	positive
106963409085542401	53237230	positive
112505769643094017	202944332	objective-OR-neutral
102975731008671744	27938870	positive
105860347424022528	44714414	positive
100124339705348096	27851369	objective-OR-neutral
100740807904067585	215367707	neutral
102463043530797056	212320295	positive
102644489797115904	273280405	objective-OR-neutral
100228541945360384	16210489	positive
101422463187030016	63110938	neutral
100487851703148544	25982432	negative
100048909740670977	15010061	positive
111408114162597888	362655740	objective-OR-neutral
109634216093954048	88090633	objective
103927110929887232	108621190	positive
91230278244237312	138930681	positive
107520966292279296	169900990	objective
100002521464053761	72724061	positive
105739077680250880	101247076	neutral
100031369626927105	46582425	negative
102130567335788544	353922730	positive
111463226742554624	356752859	negative
111420647497932800	280803839	objective-OR-neutral
111041006799044608	32691114	positive
112050652489859072	232376395	positive
100244764120719360	280976916	negative
101874697754509312	43306454	positive
102736952536731648	21922707	positive
100636241443295233	272088057	positive
100395078731837441	48453336	objective
100484763084783617	100501676	objective
111660881456271360	354455851	positive
100047389397749760	23864998	objective
100847318449917952	163826804	positive
100031945379024896	23096449	positive
111417256864526336	88910582	positive
101482478065291264	68432602	positive
101890785275949056	190321556	negative
100034181253439488	265108735	positive
111718815578062848	124004671	positive
100171237455695872	230264469	neutral
109272638165221376	22730287	negative
101664330587717632	76529631	positive
100544370142482432	49219375	objective
111960575411621888	24388887	positive
106871108430594048	135836213	neutral
100077968503750656	28733969	negative
100591108240838657	349120754	objective-OR-neutral
100079174001238016	282675787	positive
100109953997602816	63002955	neutral
100046864652574720	38335522	positive
100124927616753664	148795856	positive
109484454271131649	25508307	negative
100500019202895872	300097931	positive
102556166969761792	197601271	positive
102522834261262336	9141832	negative
101452523759607809	72015454	neutral
100004406396858368	72056755	positive
105544170747330560	74995139	positive
100125491968741376	348388875	neutral
100244223315558401	313005431	neutral
111733664165011456	120461734	positive
100001181002252288	43748336	positive
100155788294762496	223639114	positive
111340757864022017	47642864	positive
101786196639883264	350096289	positive
111326159253413888	16782697	objective-OR-neutral
111824175580200960	248813520	positive
108230031880368128	23717472	objective-OR-neutral
104063334818648064	353521021	positive
111344977212211201	202447380	objective
102916706053267456	253282664	objective
100061932765188096	279703261	positive
102086168665006080	60945241	positive
100032889898532864	97294141	neutral
101782812151136256	153576434	positive
108200058473811968	85574636	positive
107945681955717120	18847909	positive
109318399284355073	40753509	negative
109000977264295936	16250929	objective
108156619417845760	25217843	objective-OR-neutral
100245144627986432	186164728	positive
110375430309154817	255096038	positive
106736835811737601	106324907	objective-OR-neutral
110540813716570112	211279117	positive
105332660733353984	15487092	negative
103942286265679873	14146019	negative
100244244601638912	108619748	negative
100502555976663040	83457749	objective-OR-neutral
100304159491899393	69968102	positive
100287777484189696	283015751	objective
101012460286377984	19092739	objective
100607510523822081	58548885	objective
102842251767586817	347476694	positive
100803851426344960	271582975	neutral
101876360158511104	62430201	neutral
108612731321593856	196809690	positive
111344128507392000	24206052	neutral
100001854695538689	48383145	negative
100304503676485632	98897658	objective-OR-neutral
100062714054975488	85306789	negative
97769590960033792	234505253	negative
100230762007248896	195932168	negative
106071742820265984	108617892	negative
101468391130415104	41306675	objective-OR-neutral
111383252333375488	115672217	neutral
111495784310124544	43073465	positive
111368193779572736	50802964	positive
90965889557594112	16713031	negative
100289220916162560	247951021	neutral
101692199170867201	61629616	positive
100002850477842432	131070878	positive
100002970908884994	202585750	positive
106569271450140673	191241076	neutral
110630946876821504	29416980	positive
100215051369189376	326123417	neutral
100016884988133376	309956817	objective
100366302362873857	92158521	neutral
100320979225554944	91441301	objective
111420811562336256	180385367	objective
101710617383153664	89462937	objective
100121636048609280	38404334	negative
100485461704851456	194930259	objective-OR-neutral
103157388474990592	30425501	objective-OR-neutral
100153462687399936	63925228	positive
